,dc prop,dc vol,dc units,dc psf,dc cr,pitts prop,pitts vol,pitts units,pitts psf,pitts cr,bos prop,bos vol,bos units,bos psf,bos cr,nyc prop,nyc vol,nyc units,nyc psf,nyc cr,atl prop,atl vol,atl units,atl psf,atl cr,nash prop,nash vol,nash units,nash psf,nash cr,rd prop,rd vol,rd units,rd psf,rd cr,aus prop,aus vol,aus units,aus psf,aus cr,dall prop,dall vol,dall units,dall psf,dall cr,den prop,den vol, den units,den psf,den cr,hous prop,hous vol,hous units,hous psf,hous cr,la prop,la vol,la units,la psf,la cr,port prop,port vol,port units,port psf,port cr,slc prop,slc vol,slc units,slc psf,slc cr,sd prop,sd vol,sd units,sd psf,sd cr,sf prop,sf vol,sf units,sf psf,sd cr,sj prop,sj vol,sj units,sj psf,sj cr,sea prop,sea vol,sea units,sea psf,sea cr
03Q3, 17 ,"1,020,948,019.7"," 3,798,336 ",286,7.9%, 1 ,"5,000,000.0"," 48,804 ",102,#N/A, 14 ,"363,100,162.4"," 2,298,228 ",158,5.7%, 27 ,"3,658,178,823.1"," 12,579,355 ",386,7.5%, 19 ,"319,661,235.2"," 2,970,665 ",109,9.1%,#N/A,#N/A,#N/A,#N/A,8.7%, 13 ,"81,139,758.9"," 932,589 ",98,8.3%, 2 ,"21,922,000.0"," 197,978 ",111,#N/A, 23 ,"454,822,360.6"," 4,482,067 ",109,9.3%, 9 ,"241,909,500.0"," 2,202,586 ",110,8.5%, 11 ,"172,715,000.0"," 1,846,760 ",95,9.7%, 41 ,"1,012,225,456.8"," 6,398,537 ",165,8.4%, 3 ,"20,955,000.0"," 185,934 ",113,7.6%, 1 ,"16,000,000.0"," 132,854 ",#N/A,7.3%, 22 ,"385,373,309.9"," 2,033,977 ",189,8.0%, 5 ,"123,650,000.0"," 761,753 ",162,6.7%, 6 ,"321,450,057.9"," 1,230,432 ",268,8.6%, 15 ,"92,865,633.0"," 762,659 ",122,8.9%
03Q4, 26 ,"1,925,045,531.7"," 6,488,707 ",318,7.9%, 1 ,"15,000,000.0"," 94,500 ",159,8.4%, 10 ,"98,941,750.0"," 1,098,995 ",90,10.1%, 18 ,"2,070,425,000.0"," 8,330,689 ",283,7.7%, 24 ,"513,612,456.2"," 4,347,768 ",151,8.9%, 3 ,"125,500,000.0"," 756,716 ",166,8.9%, 4 ,"37,789,000.0"," 390,393 ",81,#N/A, 3 ,"19,200,000.0"," 156,053 ",123,#N/A, 13 ,"221,464,933.1"," 3,104,551 ",81,7.1%, 11 ,"97,303,550.0"," 1,141,783 ",88,10.4%, 17 ,"394,163,333.3"," 4,780,797 ",86,8.7%, 57 ,"1,611,042,618.9"," 10,529,988 ",155,7.8%, 5 ,"83,575,000.0"," 737,833 ",113,8.5%, 1 ,"27,930,000.0"," 240,529 ",116,6.7%, 19 ,"219,971,000.0"," 1,252,224 ",174,8.2%, 8 ,"170,077,000.0"," 1,237,567 ",117,6.2%, 10 ,"338,586,000.0"," 1,838,814 ",187,10.5%, 15 ,"324,104,766.5"," 2,216,886 ",159,8.5%
04Q1, 14 ,"833,793,000.0"," 3,053,334 ",273,7.6%, 1 ,"6,750,000.0"," 85,000 ",79,#N/A, 25 ,"1,426,678,664.4"," 5,261,426 ",289,8.0%, 32 ,"2,645,297,966.7"," 12,879,785 ",261,7.6%, 13 ,"378,303,333.3"," 2,469,672 ",153,8.0%, 1 ,"5,150,000.0"," 67,496 ",76,8.1%, 1 ,"5,492,500.0"," 42,300 ",130,#N/A, 5 ,"81,106,688.5"," 802,977 ",102,#N/A, 21 ,"215,459,326.1"," 2,747,533 ",94,8.4%, 8 ,"114,270,500.7"," 1,386,914 ",88,7.5%, 15 ,"332,640,000.0"," 3,455,065 ",112,9.2%, 45 ,"1,116,165,828.6"," 6,090,816 ",203,8.1%, 3 ,"16,575,000.0"," 106,391 ",156,4.8%,#N/A,#N/A,#N/A,#N/A,6.3%, 14 ,"189,123,484.7"," 1,099,251 ",177,7.5%, 7 ,"146,900,000.0"," 728,229 ",144,9.2%, 4 ,"56,399,281.8"," 276,177 ",186,7.1%, 11 ,"121,914,216.7"," 1,018,673 ",120,8.1%
04Q2, 10 ,"463,765,000.0"," 1,539,217 ",301,8.2%, 2 ,"33,000,000.0"," 249,178 ",132,7.4%, 19 ,"682,992,500.0"," 3,071,544 ",225,7.7%, 25 ,"2,688,877,011.4"," 8,541,206 ",324,6.9%, 22 ,"404,223,766.7"," 3,531,917 ",114,8.7%, 5 ,"116,050,000.0"," 1,201,606 ",97,8.6%, 4 ,"92,954,238.6"," 780,945 ",106,5.8%, 6 ,"115,758,000.0"," 964,901 ",137,8.3%, 27 ,"486,528,991.7"," 5,173,269 ",93,8.9%, 18 ,"287,508,360.5"," 3,255,574 ",85,8.6%, 8 ,"314,969,470.2"," 2,846,331 ",175,8.2%, 52 ,"1,200,972,627.4"," 6,475,333 ",192,7.9%, 2 ,"100,000,000.0"," 555,507 ",180,7.7%, 4 ,"80,028,000.0"," 974,650 ",81,11.0%, 33 ,"946,800,048.3"," 4,030,888 ",248,7.2%, 11 ,"510,941,688.8"," 2,057,441 ",253,7.8%, 12 ,"340,654,852.1"," 1,655,865 ",205,8.1%, 10 ,"275,458,605.7"," 1,441,514 ",191,7.8%
04Q3, 18 ,"1,175,662,333.3"," 3,641,707 ",313,6.8%, 4 ,"103,660,000.0"," 870,923 ",119,9.2%, 36 ,"788,015,408.7"," 5,752,692 ",149,8.5%, 35 ,"3,023,990,055.0"," 10,934,124 ",276,6.5%, 49 ,"1,283,494,579.7"," 10,285,982 ",135,8.5%, 3 ,"63,607,449.0"," 583,763 ",109,8.6%, 5 ,"61,238,640.5"," 745,751 ",105,#N/A, 6 ,"203,900,000.0"," 1,202,607 ",170,#N/A, 39 ,"855,830,267.0"," 7,491,246 ",114,8.9%, 11 ,"242,291,603.0"," 1,900,207 ",137,8.5%, 32 ,"962,075,280.5"," 8,196,598 ",140,8.5%, 54 ,"1,855,060,730.0"," 8,312,477 ",229,7.7%, 5 ,"195,900,000.0"," 1,439,247 ",167,7.3%, 3 ,"26,981,849.6"," 504,592 ",#N/A,7.5%, 27 ,"430,106,932.6"," 1,926,061 ",241,7.6%, 17 ,"1,325,130,213.0"," 4,987,390 ",336,8.0%, 10 ,"223,535,000.0"," 982,199 ",245,7.0%, 15 ,"350,727,637.4"," 1,934,381 ",212,8.3%
04Q4, 13 ,"1,179,217,652.8"," 2,508,431 ",474,6.8%, 4 ,"125,524,145.5"," 2,260,025 ",56,8.5%, 36 ,"1,017,831,942.6"," 4,990,184 ",216,7.0%, 40 ,"2,356,429,558.3"," 9,166,701 ",293,6.9%, 38 ,"874,393,497.0"," 6,309,939 ",136,7.0%, 5 ,"17,810,513.0"," 156,412 ",114,#N/A, 4 ,"28,575,824.2"," 274,444 ",110,7.8%, 10 ,"222,714,619.6"," 1,726,557 ",142,8.1%, 26 ,"826,327,406.6"," 9,349,982 ",98,8.3%, 15 ,"304,165,250.0"," 2,572,841 ",118,8.6%, 25 ,"942,151,942.7"," 13,600,774 ",92,7.5%, 61 ,"1,502,536,132.7"," 8,245,198 ",172,7.2%, 5 ,"53,501,820.0"," 357,256 ",150,9.1%, 7 ,"101,760,054.4"," 957,150 ",113,8.4%, 32 ,"1,084,604,018.4"," 4,035,371 ",283,7.0%, 19 ,"726,850,000.0"," 3,111,064 ",257,6.7%, 18 ,"476,022,209.7"," 2,664,984 ",230,7.4%, 28 ,"1,218,854,181.8"," 5,031,008 ",241,7.5%
05Q1, 8 ,"480,450,625.0"," 930,730 ",516,6.4%, 6 ,"52,925,000.0"," 859,500 ",64,8.8%, 28 ,"1,656,889,965.0"," 6,533,844 ",264,7.6%, 36 ,"1,485,576,963.3"," 4,809,597 ",326,6.5%, 25 ,"360,806,084.3"," 2,949,684 ",117,8.2%, 6 ,"26,415,000.0"," 410,436 ",64,8.2%, 10 ,"112,293,000.0"," 931,808 ",131,7.9%, 6 ,"155,979,106.4"," 1,016,787 ",154,1.8%, 19 ,"252,385,556.0"," 3,375,312 ",75,8.0%, 15 ,"494,040,400.0"," 3,003,593 ",164,8.1%, 26 ,"365,278,144.0"," 3,681,316 ",97,8.7%, 68 ,"1,870,183,334.8"," 7,978,865 ",244,7.1%, 10 ,"117,848,890.7"," 963,320 ",122,6.4%, 4 ,"38,378,400.0"," 480,185 ",79,7.4%, 24 ,"641,487,037.5"," 2,358,098 ",278,7.5%, 22 ,"975,738,000.0"," 3,988,278 ",253,6.6%, 15 ,"523,545,250.0"," 2,388,492 ",244,8.9%, 23 ,"433,478,992.7"," 2,019,295 ",220,6.5%
05Q2, 30 ,"1,847,185,410.0"," 4,791,821 ",406,6.3%, 3 ,"200,475,000.0"," 1,746,000 ",115,7.5%, 37 ,"1,277,565,163.7"," 4,447,247 ",306,7.5%, 49 ,"5,290,747,614.0"," 11,324,381 ",506,5.7%, 33 ,"795,175,587.8"," 5,789,598 ",136,7.6%, 8 ,"71,477,209.0"," 831,445 ",86,8.3%, 3 ,"44,287,500.0"," 259,051 ",171,9.5%, 7 ,"311,577,250.0"," 1,766,869 ",176,8.2%, 35 ,"1,021,216,652.0"," 8,234,962 ",134,8.2%, 23 ,"309,232,140.0"," 2,861,563 ",110,7.7%, 23 ,"358,373,451.2"," 2,931,565 ",133,7.8%, 85 ,"1,975,338,763.7"," 9,765,130 ",201,7.2%, 5 ,"37,705,000.0"," 368,798 ",102,6.4%, 4 ,"46,931,838.0"," 420,897 ",109,7.4%, 21 ,"230,898,789.0"," 1,086,347 ",212,7.2%, 27 ,"1,478,402,000.0"," 5,172,060 ",286,6.8%, 25 ,"803,003,322.9"," 2,956,196 ",314,7.1%, 29 ,"518,853,698.0"," 3,057,564 ",170,7.6%
05Q3, 17 ,"798,644,460.0"," 2,025,487 ",382,5.7%, 3 ,"72,700,000.0"," 890,000 ",86,#N/A, 17 ,"334,500,509.3"," 2,865,623 ",130,7.5%, 48 ,"3,076,553,535.7"," 10,309,877 ",362,5.9%, 62 ,"984,188,806.9"," 7,284,087 ",124,7.7%, 3 ,"43,100,000.0"," 234,377 ",184,7.4%, 11 ,"163,315,230.4"," 1,584,620 ",118,8.4%, 9 ,"329,935,641.3"," 1,524,616 ",218,7.4%, 35 ,"832,273,119.0"," 7,524,594 ",88,7.0%, 17 ,"409,441,666.7"," 3,225,091 ",127,7.7%, 32 ,"1,369,965,382.1"," 9,885,231 ",128,8.0%, 70 ,"2,224,118,686.2"," 9,197,592 ",259,6.8%, 20 ,"326,455,001.3"," 1,969,630 ",183,6.5%, 8 ,"173,993,593.8"," 1,005,212 ",170,7.3%, 19 ,"859,417,000.0"," 2,998,297 ",287,6.9%, 28 ,"1,539,616,564.0"," 5,828,621 ",307,6.9%, 29 ,"821,239,000.0"," 3,942,278 ",217,7.5%, 24 ,"504,984,392.0"," 2,733,091 ",210,7.7%
05Q4, 22 ,"1,904,523,333.3"," 4,734,461 ",406,6.2%, 10 ,"105,712,500.0"," 810,138 ",131,7.7%, 58 ,"1,284,653,326.2"," 8,175,965 ",164,6.4%, 45 ,"2,929,259,253.0"," 7,223,281 ",478,5.6%, 41 ,"943,326,172.9"," 5,885,643 ",165,6.9%, 7 ,"148,961,036.0"," 1,062,604 ",140,6.8%, 4 ,"115,499,000.0"," 492,830 ",234,7.3%, 15 ,"482,172,001.4"," 4,012,708 ",86,7.0%, 65 ,"2,383,050,261.0"," 15,390,974 ",179,7.5%, 23 ,"531,688,119.7"," 4,430,423 ",126,7.3%, 29 ,"868,761,630.6"," 6,714,482 ",144,7.8%, 70 ,"1,102,713,645.4"," 5,936,646 ",191,6.9%, 9 ,"224,615,140.0"," 1,048,847 ",214,6.8%, 5 ,"121,900,000.0"," 798,459 ",171,7.1%, 38 ,"634,347,654.0"," 2,676,160 ",253,6.7%, 36 ,"1,459,311,342.7"," 4,714,595 ",315,7.7%, 20 ,"411,565,675.0"," 1,992,391 ",212,7.9%, 41 ,"922,522,188.8"," 3,968,080 ",251,6.6%
