,dc prop,dc vol,dc units,dc psf,dc cr,pitts prop,pitts vol,pitts units,pitts psf,pitts cr,bos prop,bos vol,bos units,bos psf,bos cr,nyc prop,nyc vol,nyc units,nyc psf,nyc cr,atl prop,atl vol,atl units,atl psf,atl cr,nash prop,nash vol,nash units,nash psf,nash cr,rd prop,rd vol,rd units,rd psf,rd cr,aus prop,aus vol,aus units,aus psf,aus cr,dall prop,dall vol,dall units,dall psf,dall cr,den prop,den vol, den units,den psf,den cr,hous prop,hous vol,hous units,hous psf,hous cr,la prop,la vol,la units,la psf,la cr,port prop,port vol,port units,port psf,port cr,slc prop,slc vol,slc units,slc psf,slc cr,sd prop,sd vol,sd units,sd psf,sd cr,sf prop,sf vol,sf units,sf psf,sf cr,sj prop,sj vol,sj units,sj psf,sj cr,sea prop,sea vol,sea units,sea psf,sea cr
03Q3,17,1020948020,3798336,286.07,0.08,1,5000000,48804,102.45,0,14,363100162.4,2298228,157.99,0.06,27,3658178823,12579355,385.85,0.08,19,319661235.2,2970665,109.31,0.09,0,0,0,0,0.09,13,81139758.89,932589,98.34,0.08,2,21922000,197978,110.73,0,23,454822360.6,4482067,109.44,0.09,9,241909500,2202586,109.83,0.08,11,172715000,1846760,94.69,0.1,41,1012225457,6398537,165,0.08,3,20955000,185934,112.7,0.08,1,16000000,132854,0,0.07,22,385373309.9,2033977,189.1,0.08,5,123650000,761753,162.32,0.07,6,321450057.9,1230432,268.18,0.09,15,92865633,762659,121.77,0.09
03Q4,26,1925045532,6488707,318,0.08,1,15000000,94500,158.73,0.08,10,98941750,1098995,90.03,0.1,18,2070425000,8330689,282.76,0.08,24,513612456.2,4347768,150.67,0.09,3,125500000,756716,165.85,0.09,4,37789000,390393,81.24,0,3,19200000,156053,123.04,0,13,221464933.1,3104551,80.53,0.07,11,97303550,1141783,87.97,0.1,17,394163333.3,4780797,85.71,0.09,57,1611042619,10529988,155.06,0.08,5,83575000,737833,113.27,0.08,1,27930000,240529,116.12,0.07,19,219971000,1252224,173.93,0.08,8,170077000,1237567,116.53,0.06,10,338586000,1838814,187.02,0.1,15,324104766.5,2216886,158.95,0.09
04Q1,14,833793000,3053334,273.09,0.08,1,6750000,85000,79.41,0,25,1426678664,5261426,289.38,0.08,32,2645297967,12879785,261.28,0.08,13,378303333.3,2469672,153.18,0.08,1,5150000,67496,76.3,0.08,1,5492500,42300,129.85,0,5,81106688.5,802977,101.73,0,21,215459326.1,2747533,94.49,0.08,8,114270500.7,1386914,87.6,0.08,15,332640000,3455065,111.62,0.09,45,1116165829,6090816,203.36,0.08,3,16575000,106391,155.79,0.05,0,0,0,0,0.06,14,189123484.7,1099251,177.1,0.07,7,146900000,728229,144.45,0.09,4,56399281.84,276177,186.16,0.07,11,121914216.7,1018673,119.68,0.08
04Q2,10,463765000,1539217,301.3,0.08,2,33000000,249178,132.44,0.07,19,682992500,3071544,225.3,0.08,25,2688877011,8541206,323.94,0.07,22,404223766.7,3531917,114.45,0.09,5,116050000,1201606,96.58,0.09,4,92954238.59,780945,106.13,0.06,6,115758000,964901,137.08,0.08,27,486528991.7,5173269,93,0.09,18,287508360.5,3255574,84.95,0.09,8,314969470.2,2846331,175.47,0.08,52,1200972627,6475333,191.62,0.08,2,100000000,555507,180.02,0.08,4,80028000,974650,80.99,0.11,33,946800048.3,4030888,248.43,0.07,11,510941688.8,2057441,253.37,0.08,12,340654852.1,1655865,205.39,0.08,10,275458605.7,1441514,191.09,0.08
04Q3,18,1175662333,3641707,313.01,0.07,4,103660000,870923,119.02,0.09,36,788015408.7,5752692,148.84,0.09,35,3023990055,10934124,276.45,0.07,49,1283494580,10285982,135.4,0.08,3,63607449,583763,108.96,0.09,5,61238640.55,745751,104.62,0,6,203900000,1202607,169.55,0,39,855830267,7491246,113.75,0.09,11,242291603,1900207,136.75,0.09,32,962075280.5,8196598,140.16,0.09,54,1855060730,8312477,228.99,0.08,5,195900000,1439247,167.14,0.07,3,26981849.65,504592,0,0.07,27,430106932.6,1926061,240.71,0.08,17,1325130213,4987390,336.25,0.08,10,223535000,982199,244.79,0.07,15,350727637.4,1934381,211.58,0.08
04Q4,13,1179217653,2508431,473.81,0.07,4,125524145.5,2260025,55.54,0.09,36,1017831943,4990184,216.3,0.07,40,2356429558,9166701,293.11,0.07,38,874393497,6309939,136.44,0.07,5,17810513,156412,113.87,0,4,28575824.23,274444,109.52,0.08,10,222714619.6,1726557,141.84,0.08,26,826327406.6,9349982,97.6,0.08,15,304165250,2572841,118.22,0.09,25,942151942.7,13600774,92.48,0.07,61,1502536133,8245198,171.83,0.07,5,53501820,357256,149.76,0.09,7,101760054.5,957150,113.32,0.08,32,1084604018,4035371,283.08,0.07,19,726850000,3111064,256.93,0.07,18,476022209.7,2664984,229.87,0.07,28,1218854182,5031008,241.13,0.08
05Q1,8,480450625,930730,516.21,0.06,6,52925000,859500,63.5,0.09,28,1656889965,6533844,264.36,0.08,36,1485576963,4809597,326.13,0.06,25,360806084.3,2949684,116.95,0.08,6,26415000,410436,64.36,0.08,10,112293000,931808,130.83,0.08,6,155979106.4,1016787,154,0.02,19,252385556,3375312,74.69,0.08,15,494040400,3003593,164.48,0.08,26,365278144,3681316,97.38,0.09,68,1870183335,7978865,244.06,0.07,10,117848890.7,963320,122.34,0.06,4,38378400,480185,78.62,0.07,24,641487037.5,2358098,278.46,0.07,22,975738000,3988278,252.72,0.07,15,523545250,2388492,244.17,0.09,23,433478992.7,2019295,220.09,0.06
05Q2,30,1847185410,4791821,405.62,0.06,3,200475000,1746000,114.82,0.07,37,1277565164,4447247,306.17,0.08,49,5290747614,11324381,505.5,0.06,33,795175587.8,5789598,136.15,0.08,8,71477209,831445,85.97,0.08,3,44287500,259051,170.96,0.09,7,311577250,1766869,176.34,0.08,35,1021216652,8234962,134.29,0.08,23,309232140,2861563,109.74,0.08,23,358373451.2,2931565,133.25,0.08,85,1975338764,9765130,201.33,0.07,5,37705000,368798,102.24,0.06,4,46931837.97,420897,108.52,0.07,21,230898789,1086347,211.84,0.07,27,1478402000,5172060,285.84,0.07,25,803003322.9,2956196,314.37,0.07,29,518853698,3057564,169.7,0.08
05Q3,17,798644460,2025487,382.09,0.06,3,72700000,890000,85.71,0,17,334500509.3,2865623,130.05,0.07,48,3076553536,10309877,362.39,0.06,62,984188806.9,7284087,123.59,0.08,3,43100000,234377,183.89,0.07,11,163315230.4,1584620,117.54,0.08,9,329935641.3,1524616,218.45,0.07,35,832273119,7524594,88.3,0.07,17,409441666.7,3225091,126.96,0.08,32,1369965382,9885231,128.13,0.08,70,2224118686,9197592,259.36,0.07,20,326455001.3,1969630,182.55,0.07,8,173993593.8,1005212,169.64,0.07,19,859417000,2998297,286.64,0.07,28,1539616564,5828621,307.48,0.07,29,821239000,3942278,216.82,0.07,24,504984392,2733091,210.24,0.08
05Q4,22,1904523333,4734461,405.81,0.06,10,105712500,810138,130.77,0.08,58,1284653326,8175965,164.26,0.06,45,2929259253,7223281,477.88,0.06,41,943326172.9,5885643,165.32,0.07,7,148961036,1062604,140.18,0.07,4,115499000,492830,234.36,0.07,15,482172001.4,4012708,86.45,0.07,65,2383050261,15390974,179.12,0.07,23,531688119.7,4430423,126.4,0.07,29,868761630.6,6714482,143.7,0.08,70,1102713645,5936646,191.19,0.07,9,224615140,1048847,214.15,0.07,5,121900000,798459,170.89,0.07,38,634347654,2676160,252.64,0.07,36,1459311343,4714595,314.6,0.08,20,411565675,1992391,212.16,0.08,41,922522188.8,3968080,251.46,0.07
06Q1,15,610567666,1293633,471.98,0.06,11,160562170,1862182,86.22,0.08,29,1030356791,3704146,280.07,0.07,51,3409667496,8654237,436.33,0.06,34,766500619.7,4638928,162.98,0.07,1,56250000,496235,113.35,0.07,5,38198236.51,382529,102.36,0.08,4,57450000,383665,149.74,0.07,36,932712406.2,6543153,117.66,0.08,21,737462095,4518324,180.39,0.07,26,357844335.6,3173955,111.82,0.07,57,1203990166,5041524,297.39,0.07,9,147642647.3,690350,209.43,0.07,10,149702025.3,1249449,104.84,0.07,29,1028438703,3428348,296.14,0.07,23,1417399000,3408471,424.3,0.07,22,717024268.2,3285979,201.06,0.06,30,650042772,2752823,242.52,0.07
06Q2,18,944509296,2403903,433.25,0.06,5,74234759,1080969,68.67,0.07,52,1678458333,8889059,192.29,0.07,49,4308303517,8940936,546.36,0.06,38,762012321.8,5615756,129.01,0.07,18,173239622.8,1715033,101.01,0.08,7,42820833.33,474000,90.34,0.07,14,449317889.4,2813286,186.92,0.07,39,1148738756,8220943,156.17,0.08,31,754116430.6,5688513,151.58,0.07,32,612279634.1,4777753,97.69,0.07,129,4235241650,16164842,257.58,0.06,11,71414886.59,591309,140.33,0.07,12,83337600,764438,103.98,0.07,43,1000182499,3685444,253.06,0.06,24,927682914.9,3221037,293.25,0.06,52,1770755133,7621791,346.92,0.07,40,728142620.9,3624967,219.11,0.06
06Q3,34,2000325986,6910420,459.43,0.05,4,41875000,381670,109.72,0.07,29,2292805994,7301597,356.11,0.06,50,4961076454,8340837,619.18,0.05,35,2135354979,11789078,187.76,0.07,9,130139946,970822,134.05,0.07,5,67839000,352780,142.3,0.07,16,553829045.2,3925947,255.8,0.06,68,1333761940,12495433,116.88,0.08,43,683442497.7,5982136,130.36,0.07,21,474111705.9,3590361,138.59,0.07,69,1701555486,7348189,270.71,0.06,15,418448479.1,2491779,218.1,0.06,20,314818042.3,2444773,160.17,0.08,34,587254143.1,2916449,243.01,0.06,37,1835651667,5379710,272.76,0.07,40,1615784225,7144636,262.67,0.08,53,1386941129,6528338,241.43,0.07
06Q4,38,3694615127,9091790,500.12,0.05,4,39750000,464741,85.53,0.06,62,5832143771,15530928,376.13,0.06,48,8419707519,19409298,614.88,0.05,49,1143875752,8207524,136.61,0.07,9,198197165.8,1456277,128.81,0.07,16,272233768.7,2102522,119.38,0.08,8,161385714.3,1284120,136.91,0.08,81,2376859900,20132965,113.79,0.07,51,1158555724,7084167,159.66,0.07,49,1929716229,13541765,147.29,0.07,99,5095523485,17488452,298.56,0.06,9,111933603.3,865910,129.27,0.06,7,46605000,457805,133.36,0.07,40,1213923240,3865735,301.61,0.06,33,1451939265,4665021,346.19,0.06,47,1289020630,5705713,234.73,0.06,22,569196967,2711909,224.18,0.07
07Q1,22,1268709084,4270689,446.22,0.05,9,111980838.3,1507487,65.97,0.09,69,6839937348,17869378,247.96,0.06,62,16582836506,20909993,704.84,0.05,47,1922681663,11092022,154.34,0.06,4,19608100,206455,94.98,0.08,16,455698459.7,3053759,151.09,0.07,13,940400000,3799362,100.79,0,34,1016369552,7699757,111.53,0.07,31,1805288282,7551833,244.86,0.07,35,776359707.1,5789797,145,0.06,81,4496643324,13249832,304.32,0.06,48,1951489784,7446692,271.3,0.07,10,104600000,755590,169.44,0.07,34,1093108005,4048236,296.28,0.06,56,3470913965,10947490,363.23,0.05,42,2316825145,7449900,276.55,0.06,51,3090259723,11158118,197.46,0.07
07Q2,19,1831088357,3555899,535.22,0.05,5,48874069.63,482203,72.72,0.06,34,1621279029,5709298,217.7,0.06,62,9498882383,16138438,634.25,0.05,53,1107230985,7944643,156.73,0.07,11,234183333.3,1416492,115.88,0.07,10,104921500,717965,143.46,0.07,23,1611466063,5553507,216.98,0.07,43,837078721.2,8066634,100.15,0.07,29,588706592.3,3237345,167.82,0.07,32,672562041,5807386,123.17,0.07,83,2961388051,8448005,361.65,0.06,10,192908887,946946,225.06,0.07,7,78400000,558443,151.44,0.08,43,1607911346,4826612,380.04,0.06,54,6718617054,14863337,509.74,0.06,27,1102269869,3590910,336.67,0.06,71,5696054134,16596527,368.42,0.07
07Q3,17,691443512.5,1693544,535.96,0.06,4,27483530,549018,50.06,0.09,28,929542000,3482371,271.54,0.06,57,6464821052,9690087,691.61,0.05,47,1146707027,7157294,169.92,0.07,13,77688853.39,802685,93.02,0.07,16,230534846.7,1411969,163.27,0.06,7,242470862.4,1454925,178.98,0.05,53,1816071273,15342056,117.5,0.07,34,1314964361,6295342,161.24,0.08,42,2551749142,19816385,153.33,0.06,100,3280577713,10742727,314.4,0.06,13,389412088.5,1246968,167.66,0.08,10,299010005.1,1371041,90.67,0.08,57,1648008964,4578763,354.7,0.06,32,2107094230,4797034,363.15,0.05,32,1014706675,3383344,281.44,0.06,53,1280158004,4135807,301.08,0.06
07Q4,15,970140195.5,2456985,394.85,0.06,6,105824090.6,1042379,66.47,0.09,25,1300677788,4922059,440.92,0.06,46,8311934841,11775478,757.36,0.04,27,766860534.4,3786368,207.01,0.07,9,115685637,836392,131.76,0.07,14,268580600,1766752,171.69,0.07,8,234464500,1232441,211.96,0.07,29,754274087.9,4456056,188.31,0.07,27,505825963.7,3047279,165.99,0.07,33,665686790.3,5798994,118.75,0.05,57,1588692478,5278189,320.98,0.06,14,378819387,1453505,264.92,0.07,3,70450000,387836,181.65,0.07,16,380461606.7,1166406,326.18,0.06,18,649861800,1601224,406.65,0.06,20,594757666.7,1874329,333.75,0.05,37,778917840,3150725,245.31,0.06
08Q1,13,737275759,1496709,492.6,0,5,46183527,828484,55.74,0,15,186084571.7,1018010,213.53,0.08,40,2444851978,4591902,624.68,0.05,39,451114348.2,3129900,152.32,0.07,10,31859108.01,243580,141.89,0,14,207625454.1,1450362,156.68,0.07,8,83581951.73,551684,178.68,0.09,23,218074645.8,2006633,88.86,0.09,18,347039509,2388956,145.27,0.07,30,381273528.1,2557756,137.43,0.08,58,1493628420,4658887,294.07,0.06,16,176060892.3,1124100,156.7,0.05,3,11600000,85297,132.76,0.08,23,240806650,1054781,236.53,0.07,23,660867941,2342546,279.49,0.06,18,686914166.7,2027651,338.77,0.06,33,219956223,1103011,207.05,0.06
08Q2,10,736174999.7,1108226,556.29,0.05,3,58552000,587552,99.65,0,21,502359420.1,1554941,306.93,0.06,26,5253080336,5497920,962.63,0.05,33,875226319.3,4426533,198.74,0.08,10,62928244.76,520139,144.08,0.07,8,102364000,684082,149.68,0.07,6,89634000,402704,396.25,0,31,1254347348,6867848,187.82,0.08,16,163060000,1043428,141.94,0.08,17,774355840,4490078,176.17,0.07,42,1004221410,3286896,284.93,0.06,8,304059812.7,1423836,243.36,0.08,6,75200000,486919,156.33,0,20,324977129.5,972847,335.4,0.06,10,290030166.2,659208,459.1,0.06,17,263665166.7,1006647,298.1,0.07,18,112518500,469568,250.87,0.06
08Q3,7,554772879,1231108,577.71,0.06,4,52700000,689474,69.91,0,15,522763193,2388600,281.6,0.07,31,5523523267,7302228,776.24,0.05,29,883116202,5037607,180.59,0.08,7,110610000,668084,165.56,0.08,5,50130000,349900,143.27,0.06,7,510750000,2829560,256.05,0,19,332990475.6,2887846,151.28,0.07,12,249801666.7,1131226,220.82,0.07,6,195400350,1326504,266.22,0.08,37,806162608.7,2480217,329.86,0.06,9,107065858.7,477371,223.54,0.07,2,8000000,66480,120.34,0.08,16,560210000,1364723,410.49,0.07,5,149475000,343089,435.67,0,11,118077000,381658,309.38,0.06,27,283675311.3,1194498,237.48,0.08
08Q4,10,372928525,759793,492.37,0.07,2,10400000,261348,39.79,0,13,285952000,1468862,194.68,0.06,20,1518599244,3151014,543.12,0.04,11,95210166.67,813376,117.06,0.1,5,42709449,362331,117.87,0.07,8,88361500,478632,184.61,0.09,9,165886050,836631,227.96,0.07,16,258300000,2224660,75.06,0.08,9,238756592.3,1364221,177.7,0.07,10,272994380,1558123,158.76,0.06,26,346574363.3,1813370,190.3,0.07,8,59150000,471103,122.94,0.08,6,60600000,635352,85.83,0.07,13,90399874.11,517861,197.18,0.07,10,103260000,400561,270.9,0.05,11,230543910.5,851196,247.32,0.04,25,235395092.1,869588,249.34,0.06
09Q1,6,527383683.3,1600912,447.77,0.07,2,31000000,224000,138.39,0.07,7,337645000,1560506,379.95,0.08,7,832400000,1536572,564.58,0.06,6,44554675,420609,125.15,0.07,0,0,0,0,0,0,0,0,0,0,2,8000000,40771,0,0,8,158125000,1591372,89.73,0.09,0,0,0,0,0,9,71237425,1173549,52.98,0.08,11,65190004.33,281812,231.32,0.07,4,17600000,111347,158.06,0,0,0,0,0,0,4,58144000,420052,138.42,0,6,165413000,246927,669.89,0,1,4000000,12924,309.5,0,6,46967000,201169,233.47,0
09Q2,4,114664917,327051,350.6,0.08,1,12200000,132500,92.08,0,8,110892683,572278,221.43,0,6,92800000,108595,854.55,0,9,103720740,1011872,102.5,0.08,3,22200000,187743,118.25,0,0,0,0,0,0,1,5000000,31016,0,0,5,63000000,470570,197.82,0.08,4,146907500,773213,190,0.1,11,114109998.9,1969532,46.83,0.1,20,229190000,1342041,191.45,0.08,2,63200000,717991,88.02,0,2,36497360.34,442623,0,0,5,138607495.5,578068,225.07,0,6,45696538.29,192259,230.29,0.08,5,51000000,152563,334.29,0.06,4,21730950,182320,75.17,0
09Q3,8,569698331.3,1365630,417.17,0.08,4,89500000,452000,0,0,8,176100000,936394,188.06,0.1,12,840752650,3697545,227.38,0,16,140665083.7,1766114,88.43,0.07,3,15147217,119913,126.32,0,1,5500000,56064,98.1,0,0,0,0,0,0,3,12204713.78,89062,0,0,2,6686666.67,105601,63.32,0,4,152500000.6,716672,171.15,0,18,160340830,892701,205.15,0.08,0,0,0,0,0,0,0,0,0,0,4,138608808.8,302255,470.3,0.08,6,287750000,900904,319.4,0,6,91590021.5,281335,325.56,0.08,4,146741883,974883,150.52,0
09Q4,3,424600000,827067,568.03,0.05,2,15540000,281828,55.14,0,8,90623000,816311,111.02,0.08,18,287604911,976883,281.44,0.07,7,165222848,1749065,160.9,0.07,1,6845257.45,64795,105.64,0,2,14850000,161278,92.08,0,2,17700000,184023,100.82,0,21,204881333.3,2829920,85.1,0,5,49610000,750389,66.11,0.08,9,88329123,1086394,74.16,0.08,17,262376799.5,1328431,218.87,0.09,5,72800000,716251,101.64,0,0,0,0,0,0,9,181728181.7,849809,213.85,0.1,8,293628770,856859,339.6,0.09,9,77001564,495876,153.14,0,9,233314242,894616,260.8,0.1
10Q1,6,81525000,326507,249.69,0,2,11111000,431000,25.78,0.08,16,516451106.7,2385765,140.3,0.07,15,695111500,3458225,125.03,0,6,88211400,776617,122.07,0.07,0,0,0,0,0,2,30950000,282573,134.48,0,3,90296969.7,574436,177.71,0,4,113404536.7,964374,111.84,0.07,7,82280700,724806,113.52,0.09,9,613727739.6,2448193,180.48,0.1,19,256769238.2,1100628,221.7,0.07,5,98121000,559414,176.56,0.09,1,3607742.97,46023,0,0,11,141714541.7,662704,213.84,0,8,83514742.99,439443,167.6,0,17,160593047.5,1086693,199.1,0.09,8,47954000,409136,117.21,0
10Q2,12,1088175587,2597680,494.85,0.06,2,42997000,226812,189.57,0,12,511330193.9,3129801,166.41,0.07,16,1861731870,6166690,395.52,0.06,11,90435955.7,1097861,92.53,0,0,0,0,0,0,4,20066854.81,219890,81.95,0,3,73688403.37,438435,194.8,0,22,211585000,3116511,55.63,0.09,17,296095717.2,2146767,155.53,0.09,23,338484456.1,2721723,205.89,0.09,24,297446884.4,1470023,233.03,0.07,3,27277063.69,185541,147.01,0,2,5997748,77870,76,0.1,12,231646333.3,871565,261.57,0.1,7,624533333.3,1628945,409.96,0.07,15,236126333.3,1020641,231.35,0.08,16,149069873.9,756106,195.13,0.09
10Q3,5,645103529,1272944,506.78,0.07,3,26814500,138615,173.09,0.09,11,151987866,1240532.98,100.01,0,25,2027728554,5659825,463.45,0.05,11,147009186.6,1493326,85.31,0.09,2,7724400,47399,162.97,0,5,138287000,548547,258.3,0.07,11,108100965.3,846918,36.18,0.08,22,415944827,4025811,112.61,0,13,117863042,1038305,114.26,0.09,13,186544665.7,1499513,116.65,0.08,26,490175566,2092974,232.72,0.08,2,20500000,172000,119.19,0,0,0,0,0,0,15,164538258.3,1046360,160.36,0.08,12,673429039,2730418,295.99,0.07,11,146854498,852456,209.02,0.08,13,1038767024,2556119,408.17,0.07
10Q4,16,1380753668,3283235,465.78,0.06,7,72375606.6,794118,95.92,0,18,1117070942,3070594,363.8,0.08,39,4426491202,11757330,506.47,0.05,16,179351600,1906086,94.93,0.08,3,31100000,193925,160.37,0,14,165744419.1,840846,170.04,0,11,158254799.9,1455024,110.4,0.07,22,397597978.3,2607448,224.42,0.08,16,344738236,2239723,164.04,0.09,25,857028096,5728975,173.8,0.09,24,821724330.1,2930604,276.1,0.07,6,65656403.68,537488,163.21,0.08,4,57969300,524365,125.51,0.07,19,478265833.3,1781069,277.61,0.07,20,874279540.3,3905962,210.8,0.07,15,816609000,3351624,242.28,0.08,13,193144240.1,966223,209.99,0.06
